location,total_sqft,bath,balcony,price,bhk
Kanakpura Road,1498.0,3.0,2.0,95.0,3.0
Sarjapur  Road,2180.0,3.0,2.0,240.0,3.0
Electronic City,1000.0,2.0,1.0,29.7,2.0
Ejipura,922.0,2.0,1.0,70.0,2.0
Victoria Layout,850.0,2.0,1.0,72.0,2.0
New Thippasandra,750.0,3.0,2.0,155.0,3.0
AECS Layout,1123.0,2.0,2.0,64.0,2.0
Raja Rajeshwari Nagar,1235.0,2.0,1.0,75.0,2.0
Kogilu,1250.0,2.0,1.0,55.55,2.0
Whitefield,2403.0,5.0,0.0,360.0,4.0
Sarjapur  Road,984.0,2.0,1.0,45.91,2.0
Sarjapur  Road,1305.0,2.0,1.0,99.0,2.0
Attur Layout,1200.0,1.0,0.0,65.0,2.0
1st Block HRBR Layout,600.0,3.0,1.0,90.0,3.0
Hebbal,2790.0,5.0,3.0,204.0,4.0
Old Madras Road,2010.0,3.0,2.0,125.0,4.0
Electronics City Phase 1,995.0,2.0,0.0,42.0,2.0
Varthur Road,1277.0,2.0,2.0,59.0,2.0
7th Phase JP Nagar,1236.0,2.0,2.0,61.33,2.0
Akshaya Nagar,1265.0,2.0,3.0,67.0,2.0
Kanakpura Road,525.0,1.0,0.0,27.0,1.0
Gubbalala,2570.0,4.0,0.0,141.0,5.0
Hennur Road,2400.0,5.0,3.0,390.0,4.0
Shikaripalya,1442.0,3.0,2.0,56.24,3.0
Ardendale,1224.0,2.0,2.0,70.0,2.0
Bellandur,1205.0,2.0,1.0,59.0,2.0
Richmond Town,1233.0,2.0,3.0,100.0,2.0
5th Block Hbr Layout,1312.0,2.0,3.0,69.0,2.0
Electronic City,1449.0,3.0,2.0,90.0,3.0
Yelenahalli,1090.0,2.0,1.0,54.0,2.0
Kaggadasapura,2100.0,5.0,0.0,150.0,5.0
Uttarahalli,1390.0,2.0,3.0,62.55,3.0
JP Nagar,1200.0,2.0,3.0,78.0,2.0
Mallasandra,600.0,2.0,2.0,50.0,4.0
BTM 2nd Stage,1000.0,2.0,2.0,58.0,2.0
Devanahalli,2400.0,5.0,2.0,190.0,4.0
Thanisandra,1732.0,3.0,1.0,85.73,3.0
Banashankari,1290.0,2.0,2.0,80.0,2.0
Marasandra,1840.0,3.0,3.0,85.0,3.0
Bhuvaneshwari Nagar,1100.0,2.0,2.0,57.0,2.0
Kudlu,1455.0,2.0,3.0,60.0,3.0
Old Airport Road,2774.0,4.0,3.0,208.0,4.0
 Devarachikkanahalli,1425.0,2.0,2.0,65.0,3.0
Whitefield,1655.0,3.0,1.0,113.0,3.0
Haralur Road,2805.0,5.0,3.0,160.0,4.0
AGS Layout,1040.0,2.0,1.0,46.79,2.0
Akshaya Nagar,1126.0,2.0,1.0,55.0,2.0
Hebbal,1250.0,2.0,1.0,55.55,2.0
Kalkere Channasandra,1200.0,2.0,0.0,53.0,2.0
Ashirvad Colony,2050.0,3.0,1.0,100.0,4.0
Whitefield,530.0,1.0,1.0,29.44,1.0
Sarjapur,2585.5,4.0,0.0,139.5,4.0
Kambipura,883.0,2.0,1.0,37.0,2.0
Uttarahalli,1490.0,2.0,2.0,59.6,3.0
Ramagondanahalli,1295.0,2.0,2.0,95.0,2.0
Sompura,1275.0,3.0,1.0,59.0,3.0
Doddabanahalli,800.0,2.0,2.0,30.0,2.0
Devanahalli,1200.0,1.0,0.0,95.0,1.0
Bellandur,1063.0,2.0,1.0,58.0,2.0
Balagere,656.0,1.0,1.0,43.0,1.0
Shakthi Nagar,1125.0,2.0,2.0,36.0,2.0
Marathahalli,881.0,2.0,1.0,48.06,2.0
Bisuvanahalli,700.0,1.0,1.0,32.0,2.0
AGS Layout,1936.0,3.0,0.0,110.0,3.0
Hosa Road,1680.0,3.0,1.0,101.0,3.0
Rayasandra,1253.0,2.0,2.0,57.0,2.0
Rajaji Nagar,1640.0,3.0,3.0,230.0,3.0
Mysore Road,1082.0,3.0,2.0,50.0,3.0
Electronic City,1065.0,2.0,1.0,30.75,2.0
Iblur Village,2100.0,4.0,2.0,145.0,3.0
Electronic City,1070.0,2.0,1.0,58.0,2.0
Raja Rajeshwari Nagar,1280.0,3.0,2.0,57.6,3.0
Electronic City Phase II,1125.0,2.0,1.0,29.25,2.0
Sarjapur  Road,1755.0,3.0,2.0,122.0,3.0
Electronic City,1210.0,2.0,1.0,54.0,2.0
Talaghattapura,951.0,2.0,2.0,30.43,2.0
Electronic City,1500.0,2.0,1.0,75.0,3.0
Coffee Board Layout,1652.5,3.0,2.0,90.0,3.0
Yeshwanthpur,1381.0,2.0,2.0,76.18,3.0
Whitefield,1085.0,2.0,1.0,57.0,2.0
Whitefield,905.0,1.0,1.0,50.0,1.0
Hennur Road,1685.0,3.0,2.0,95.0,3.0
Somasundara Palya,1200.0,2.0,2.0,75.0,2.0
Anandapura,1151.0,2.0,1.0,42.9,2.0
Brookefield,3532.0,3.0,3.0,170.0,4.0
Kanakpura Road,1665.0,3.0,2.0,86.91,3.0
Kengeri Satellite Town,800.0,2.0,1.0,40.0,2.0
Chamrajpet,1050.0,2.0,1.0,162.0,2.0
Rajiv Nagar,1030.0,2.0,2.0,46.5,2.0
Hoodi,1257.0,2.0,1.0,71.03,2.0
Whitefield,1600.0,3.0,2.0,82.0,3.0
Choodasandra,1465.0,3.0,3.0,75.0,3.0
Jakkur,1650.0,3.0,2.0,111.0,3.0
Haralur Road,1243.0,2.0,2.0,46.0,2.0
Yelahanka New Town,680.0,1.0,1.0,80.0,2.0
Koramangala,1300.0,2.0,2.0,82.0,2.0
KR Puram,1000.0,2.0,1.0,44.5,2.0
Mahadevpura,1146.0,2.0,1.0,53.8,2.0
Indira Nagar,2601.0,4.0,0.0,312.0,3.0
Vishwanatha Nagenahalli,2159.0,3.0,2.0,110.0,3.0
Whitefield,1255.0,2.0,2.0,40.0,2.0
Hebbal Kempapura,1130.0,2.0,2.0,60.0,2.0
Padmanabhanagar,1200.0,2.0,1.0,60.0,2.0
Sarjapur  Road,1040.0,2.0,1.0,37.0,2.0
Byrathi Village,906.0,3.0,2.0,55.0,4.0
Uttarahalli,1180.0,2.0,1.0,41.3,2.0
KR Puram,1200.0,2.0,3.0,47.0,2.0
Sarjapur  Road,1374.0,3.0,2.0,51.0,3.0
Whitefield,630.5,1.0,0.0,32.15,1.0
 south,2400.0,2.0,0.0,480.0,3.0
Haralur Road,1027.0,2.0,2.0,44.0,2.0
Jalahalli,2384.0,4.0,2.0,165.0,3.0
Electronic City,1033.0,2.0,2.0,28.41,3.0
Yelahanka,1200.0,2.0,1.0,54.0,2.0
Haralur Road,2017.0,3.0,2.0,105.0,3.0
Rainbow Drive,1500.0,3.0,2.0,138.0,3.0
Kamala Nagar,700.0,2.0,0.0,43.0,2.0
Kanakpura Road,1495.0,2.0,2.0,52.33,3.0
Kothanur,1302.0,2.0,1.0,68.5,2.0
Whitefield,905.0,1.0,1.0,52.0,1.0
Raja Rajeshwari Nagar,1303.0,2.0,1.0,55.79,2.0
Electronics City Phase 1,1350.0,3.0,0.0,71.0,3.0
Gottigere,1380.0,2.0,2.0,95.0,3.0
Harlur,1620.0,3.0,1.0,110.0,3.0
Sarjapur  Road,1000.0,2.0,1.0,38.5,2.0
Thanisandra,1250.0,1.0,1.0,54.0,2.0
3rd Block Koramangala,1750.0,3.0,3.0,170.0,3.0
Anekal,997.0,3.0,2.0,55.0,3.0
Kothanur,1760.0,3.0,0.0,111.0,3.0
Yelahanka,1322.0,2.0,2.0,75.0,2.0
Kanaka Nagar,1365.0,3.0,0.0,99.0,3.0
Sahakara Nagar,1500.0,3.0,2.0,125.0,3.0
Kaggadasapura,1256.0,2.0,2.0,50.0,3.0
Brookefield,941.0,2.0,2.0,48.0,2.0
Kanakpura Road,1665.0,3.0,2.0,86.58,3.0
Hennur Road,1414.0,2.0,0.0,84.18,2.0
Chikkalasandra,1270.0,2.0,3.0,55.25,3.0
Madiwala,800.0,2.0,2.0,80.0,3.0
Mathikere,1800.0,3.0,0.0,105.0,6.0
Pattanagere,850.0,2.0,0.0,35.0,2.0
Kanakpura Road,712.0,1.0,1.0,38.44,1.0
Rajaji Nagar,2648.0,5.0,0.0,251.5,4.0
TC Palaya,900.0,2.0,0.0,55.0,2.0
Hebbal,1200.0,2.0,1.0,49.0,2.0
Kengeri Satellite Town,654.0,1.0,1.0,22.0,1.0
Peenya,708.0,1.0,1.0,55.0,2.0
Wilson Garden,1680.0,3.0,3.0,135.0,3.0
Jakkasandra Extension,990.0,2.0,2.0,58.0,2.0
Uttarahalli,1380.0,2.0,1.0,42.0,2.0
Hebbal,1088.0,2.0,2.0,62.0,2.0
Harlur,1414.0,3.0,2.0,77.5,3.0
Seshadripuram,1240.0,2.0,1.0,100.0,2.0
Ganesha Block,1810.0,3.0,3.0,118.0,3.0
4th Block Jayanagar,2005.0,3.0,2.0,240.0,3.0
Kothanur,1185.0,2.0,2.0,58.0,2.0
Whitefield,1200.0,3.0,2.0,57.15,3.0
Electronic City,1070.0,2.0,1.0,52.0,2.0
Shikaripalya,1265.0,2.0,1.0,58.0,2.0
Sahakara Nagar,1100.0,2.0,1.0,55.0,2.0
Friends Colony,1035.0,2.0,2.0,44.0,2.0
Sonnenahalli,614.5,1.0,0.0,30.715,1.0
2nd Block Jayanagar,1000.0,2.0,1.0,97.0,2.0
Hegde Nagar,1179.0,2.0,2.0,49.35,2.0
Vittasandra,1650.0,3.0,1.0,84.0,3.0
Malur Hosur Road,2800.0,4.0,3.0,100.0,6.0
Lakshmipura Vidyaanyapura,3500.0,6.0,2.0,120.0,8.0
Nagaraja Garden,1430.0,3.0,1.0,78.65,3.0
Marathahalli,1130.0,2.0,2.0,58.0,3.0
JP Nagar,1850.0,2.0,0.0,110.0,3.0
Hennur,1340.0,3.0,2.0,54.24,3.0
Nagawara Junction,600.0,2.0,0.0,30.0,2.0
Banashankari,2582.0,5.0,2.0,250.0,3.0
Channasandra,1160.0,2.0,1.0,55.0,2.0
Hegganahalli,1200.0,2.0,1.0,45.0,1.0
Rajanna Layout,1116.0,2.0,1.0,37.6,2.0
Nagarbhavi  BDA Complex,600.0,2.0,1.0,85.0,3.0
Sarakki Nagar,2663.0,4.0,1.0,338.0,3.0
Devasthanagalu,1090.0,2.0,2.0,45.0,2.0
JP Nagar,1100.0,2.0,1.0,45.0,2.0
Vijayanagar,1484.0,3.0,2.0,79.19,3.0
Green Glen Layout,1630.0,3.0,2.0,68.0,3.0
Whitefield,1451.0,2.0,2.0,52.43,3.0
Kanakpura Road,1330.0,2.0,1.0,107.0,2.0
Thanisandra,2127.0,3.0,2.0,135.0,3.0
Sarjapur  Road,1173.0,2.0,2.0,45.75,3.0
Electronics City Phase 1,1445.0,2.0,1.0,56.0,3.0
Jayamahal Extension,2250.0,4.0,1.0,400.0,4.0
Thanisandra,2336.5,3.0,0.0,115.89,3.0
JP Nagar,1197.0,2.0,1.0,47.88,2.0
Sarjapur  Road,3930.0,7.0,0.0,329.0,5.0
Kanakpura Road,1450.0,3.0,3.0,62.4,3.0
Whitefield,1187.0,2.0,1.0,37.85,2.0
Channasandra,1050.0,2.0,2.0,41.0,2.0
Panathur,1370.0,2.0,2.0,54.8,3.0
Yelahanka,1036.0,2.0,2.0,39.37,2.0
JP Nagar,1275.0,3.0,2.0,41.2,3.0
Old Madras Road,2010.0,3.0,2.0,115.0,4.0
Thigalarapalya,1418.0,2.0,2.0,106.0,2.0
Thanisandra,1265.0,2.0,2.0,46.6,2.0
Anandapura,1576.0,3.0,2.0,58.0,3.0
Dodda Nekkundi,1148.0,2.0,1.0,56.0,2.0
Green View Layout,1000.0,2.0,1.0,36.0,2.0
Kudlu,1293.0,2.0,2.0,85.0,3.0
TC Palaya,1200.0,2.0,0.0,66.0,3.0
Munnekollal,1210.0,2.0,3.0,75.0,2.0
HSR Layout,1126.0,2.0,1.0,69.0,2.0
Vidyaranyapura,1440.0,2.0,0.0,70.0,3.0
Ramamurthy Nagar,1300.0,2.0,2.0,52.0,3.0
Thanisandra,1276.0,2.0,2.0,75.0,2.0
Whitefield,1216.0,2.0,1.0,83.0,2.0
Marenahalli,840.0,1.0,0.0,75.0,1.0
Sompura,1126.0,2.0,2.0,39.0,2.0
Raja Rajeshwari Nagar,1162.0,2.0,0.0,65.0,2.0
Whitefield,1301.0,2.0,2.0,65.0,2.0
Devanahalli,658.0,1.0,1.0,34.0,1.0
Sahakara Nagar,1350.0,3.0,1.0,250.0,3.0
Whitefield,2500.0,3.0,2.0,280.0,3.0
1st Phase JP Nagar,839.91,1.0,1.0,63.0,1.0
Chandapura,1208.51,3.0,2.0,42.0,3.0
Raja Rajeshwari Nagar,1133.0,2.0,2.0,38.41,2.0
Shettigere,1760.0,2.0,1.0,116.0,3.0
Bisuvanahalli,1075.0,2.0,1.0,52.0,3.0
Sarjapur,940.0,2.0,1.0,25.38,2.0
Badavala Nagar,1145.0,2.0,2.0,57.0,2.0
Bannerghatta Road,1302.5,2.0,0.0,67.73,2.0
Rahat Bagh,3900.0,5.0,1.0,550.0,4.0
Omarbagh Layout,3317.5,5.0,0.0,268.5,4.0
Dasarahalli,1300.0,2.0,2.0,50.0,2.0
Malleshwaram,2475.0,4.0,3.0,326.0,3.0
6th Phase JP Nagar,2040.0,3.0,0.0,200.0,3.0
Hosakerehalli,1200.0,1.0,0.0,150.0,1.0
Jigani,2420.0,4.0,1.0,190.0,4.0
Thubarahalli,1216.0,2.0,1.0,80.0,2.0
Tumkur Road,1459.0,2.0,1.0,110.0,3.0
Jakkur,1622.0,2.0,0.0,80.0,3.0
Kanakpura Road,1843.0,3.0,2.0,85.0,3.0
Badavala Nagar,1274.0,2.0,1.0,81.0,2.0
Chikkasandra,600.0,1.0,1.0,52.0,2.0
Malleshpalya,1430.0,2.0,1.0,69.5,3.0
Kammanahalli,1800.0,2.0,0.0,280.0,4.0
Begur Road,1565.0,2.0,2.0,57.91,3.0
 Devarabeesana Halli,1670.0,3.0,2.0,160.0,3.0
Lakshminarayana Pura,1695.0,3.0,2.0,150.0,3.0
Akshayanagara West,1410.0,2.0,2.0,75.0,2.0
Kengeri Satellite Town,1060.0,2.0,3.0,42.0,2.0
Sarjapur  Road,1120.0,2.0,2.0,50.0,2.0
Hosa Road,880.0,2.0,0.0,50.0,2.0
Jalahalli,1083.0,2.0,1.0,32.49,2.0
Dodda Nekkundi,1435.0,3.0,3.0,57.2,3.0
Doddakallasandra,1425.0,2.0,2.0,56.99,3.0
Arekere,900.0,2.0,3.0,50.0,2.0
Escorts Colony,2400.0,5.0,2.0,93.0,5.0
Thanisandra,693.0,1.0,1.0,34.3,1.0
Kengeri,600.0,3.0,1.0,90.0,3.0
Electronic City,2435.0,4.0,3.0,119.0,4.0
Iblur Village,1920.0,3.0,2.0,150.0,3.0
Electronic City,630.0,1.0,1.0,47.0,1.0
Bisuvanahalli,1075.0,2.0,1.0,50.0,3.0
Nagavarapalya,705.0,1.0,1.0,55.0,1.0
Srinivasa Nagar,1200.0,2.0,2.0,75.6,3.0
Mahadevpura,1532.0,2.0,2.0,62.0,2.0
Rajiv Nagar,1330.0,2.0,1.0,93.0,2.0
3rd Block Hrbr Layout,1200.0,3.0,1.0,210.0,4.0
Sarjapur  Road,1530.0,2.0,2.0,60.0,3.0
Kasavanhalli,1105.0,2.0,2.0,42.0,2.0
1st Phase JP Nagar,1566.0,2.0,0.0,180.0,2.0
Harlur,1630.0,3.0,1.0,95.1,3.0
5th Phase JP Nagar,1256.0,2.0,1.0,62.8,2.0
Brookefield,1595.0,2.0,3.0,75.0,3.0
7th Phase JP Nagar,1000.0,2.0,2.0,53.0,2.0
Poorna Pragna Layout,1475.0,2.0,2.0,58.99,3.0
"asha township, off hennur road",2400.0,5.0,3.0,285.0,5.0
Electronic City Phase II,1000.0,2.0,1.0,28.88,2.0
Uttarahalli,1737.0,2.0,3.0,95.0,3.0
Electronic City Phase II,1000.0,2.0,1.0,28.88,2.0
Near International Airport,2100.0,4.0,2.0,150.0,4.0
Hosakerehalli,3600.0,6.0,1.0,145.0,8.0
Mysore Road,883.0,2.0,1.0,50.0,2.0
Haralur Road,1243.0,2.0,2.0,46.0,2.0
BTM Layout,1776.0,2.0,3.0,75.0,3.0
Anjanapura,1347.0,2.0,1.0,37.72,3.0
Whitefield,1330.0,2.0,2.0,55.0,3.0
Sector 1 HSR Layout,600.0,2.0,1.0,120.0,2.0
Rajaji Nagar,3730.0,4.0,3.0,370.0,4.0
Harlur,1459.0,3.0,2.0,135.0,3.0
Thanisandra,2259.0,5.0,2.0,135.0,4.0
JP Nagar,2700.0,4.0,1.0,160.0,7.0
Gubbalala,1008.0,2.0,2.0,32.25,2.0
NTI Layout,1200.0,2.0,2.0,52.5,2.0
Rajaji Nagar,1800.0,2.0,2.0,250.0,3.0
Rajaji Nagar,3100.0,4.0,3.0,550.0,4.0
Yelahanka,1405.0,2.0,0.0,50.58,2.0
Yelahanka,602.0,1.0,1.0,26.0,1.0
Marathahalli,1710.0,3.0,2.0,100.0,3.0
JP Nagar,1500.0,2.0,3.0,82.0,3.0
Glass Factory Layout,1539.0,3.0,2.0,60.0,3.0
Fraser town,806.0,3.0,1.0,128.0,6.0
Judicial Layout,1100.0,2.0,1.0,53.0,3.0
Raja Rajeshwari Nagar,1151.0,2.0,1.0,49.0,2.0
Dasappa Layout,920.0,2.0,1.0,46.0,2.0
Kathriguppe,1350.0,3.0,3.0,78.3,3.0
Bannerghatta Road,1200.0,2.0,2.0,65.0,2.0
Thanisandra,1265.0,2.0,1.0,78.0,2.0
Sarjapur  Road,1700.0,3.0,2.0,93.5,3.0
Ramamurthy Nagar,1600.0,3.0,0.0,75.0,3.0
R.T. Nagar,1560.0,3.0,3.0,125.0,3.0
Haralur Road,1243.0,2.0,2.0,46.0,2.0
Sarjapur  Road,1403.0,3.0,1.0,56.0,3.0
Doddakallasandra,1010.0,2.0,1.0,40.39,2.0
Tumkur Road,1416.0,3.0,1.0,94.0,3.0
Kanakpura Road,1628.0,2.0,2.0,68.0,2.0
7th Phase JP Nagar,1680.0,3.0,2.0,125.0,3.0
Doddathoguru,1595.0,3.0,3.0,62.0,3.0
Kanakpura Road,1507.0,2.0,3.0,95.0,3.0
Frazer Town,2560.0,3.0,0.0,288.0,3.0
Hennur Road,1949.0,3.0,1.0,133.0,3.0
BTM 2nd Stage,800.0,2.0,1.0,175.0,2.0
Electronic City Phase II,1000.0,2.0,1.0,28.88,2.0
Sonam Layout,905.0,2.0,1.0,50.0,2.0
Hosakerehalli,2480.0,3.0,2.0,245.0,3.0
CR Layout,1495.0,3.0,0.0,200.0,3.0
Kaikondrahalli,1605.0,3.0,3.0,105.0,3.0
Bommanahalli,1290.0,2.0,1.0,73.0,2.0
Yelahanka,1100.0,2.0,1.0,60.0,2.0
Vishveshwarya Layout,2100.0,6.0,0.0,92.0,6.0
Electronics City Phase 1,995.0,2.0,1.0,49.8,2.0
Banashankari Stage II,500.0,2.0,1.0,55.0,2.0
Rajaji Nagar,3526.0,4.0,3.0,598.0,4.0
Gottigere,1425.0,2.0,2.0,47.0,3.0
BTM 4th Stage,1455.0,2.0,2.0,55.0,3.0
Jalahalli West,550.0,1.0,1.0,23.0,1.0
Uttarahalli,1385.0,2.0,2.0,48.48,3.0
Gollahalli,1060.0,2.0,1.0,53.0,2.0
AGS Layout,1080.0,2.0,2.0,75.0,3.0
HBR Layout,1783.0,3.0,2.0,125.0,3.0
Haralur Road,1520.0,2.0,2.0,90.0,3.0
Sarjapur  Road,1060.0,2.0,1.0,55.0,2.0
Raja Rajeshwari Nagar,1267.0,2.0,1.0,54.35,2.0
Whitefield,1155.0,2.0,2.0,55.0,2.0
Karuna Nagar,2500.0,3.0,2.0,180.0,3.0
Bannerghatta Road,1240.0,2.0,1.0,65.0,2.0
Gollahalli,1570.0,3.0,2.0,78.0,3.0
NGR Layout,1019.0,2.0,1.0,45.9,2.0
Whitefield,1355.0,3.0,3.0,76.0,2.0
Arekempanahalli,1537.0,3.0,2.0,110.0,3.0
Raja Rajeshwari Nagar,1550.0,3.0,3.0,52.45,3.0
Raja Rajeshwari Nagar,1100.0,2.0,1.0,50.0,2.0
 Devarabeesana Halli,1750.0,3.0,2.0,150.0,3.0
9th Phase JP Nagar,1466.0,2.0,2.0,71.0,2.0
Rachenahalli,1550.0,3.0,2.0,72.5,3.0
Akshaya Nagar,2300.0,4.0,3.0,102.0,3.0
Kengeri,540.0,1.0,1.0,22.5,1.0
8th Phase JP Nagar,950.0,3.0,2.0,130.0,3.0
Chamundi Nagar,2800.0,7.0,1.0,250.0,7.0
Silk Board,1020.0,2.0,3.0,48.0,2.0
Cunningham Road,2880.0,3.0,2.0,501.0,3.0
Hoodi,1305.0,2.0,1.0,75.0,2.0
Sarjapur,2100.0,3.0,1.0,125.0,4.0
Electronic City,1125.0,2.0,1.0,32.5,2.0
Horamavu Banaswadi,1225.0,2.0,2.0,49.5,2.0
Hennur,1255.0,2.0,1.0,55.5,2.0
MRCR Layout,1191.0,2.0,1.0,90.0,2.0
Uttarahalli,3600.0,6.0,2.0,303.0,6.0
Electronic City,1165.0,2.0,1.0,33.64,2.0
Kacharakanahalli,865.0,2.0,1.0,35.11,2.0
Nagarbhavi,1850.0,2.0,2.0,88.0,3.0
Marsur,497.0,1.0,1.0,17.0,2.0
Hennur Road,1232.0,2.0,2.0,89.0,2.0
Thanisandra,1732.0,3.0,3.0,85.73,3.0
Yelahanka,1614.0,2.0,1.0,100.0,3.0
Magadi Road,600.0,1.0,1.0,22.0,2.0
Thigalarapalya,2072.0,4.0,2.0,155.0,3.0
Electronic City,919.0,2.0,2.0,34.0,2.0
Shettihalli,2100.0,4.0,1.0,90.0,4.0
Shampura,672.0,3.0,1.0,54.0,4.0
Marsur,1200.0,3.0,1.0,150.0,3.0
OLd Gurappanapalya,2849.0,5.0,0.0,250.0,4.0
Doctors Layout,1000.0,2.0,2.0,42.0,2.0
Whitefield,1216.0,2.0,1.0,75.0,2.0
Lingadheeranahalli,2245.0,4.0,2.0,154.0,4.0
Bannerghatta Road,1476.0,3.0,1.0,125.0,3.0
Ambedkar Nagar,1852.0,3.0,2.0,130.0,3.0
Udaya Nagar,1225.0,2.0,2.0,47.0,2.0
Panathur,1597.0,3.0,1.0,67.12,3.0
Jakkur,2423.0,4.0,3.0,160.0,3.0
Marathahalli,1152.0,2.0,1.0,90.0,2.0
Harlur,1762.0,3.0,2.0,133.0,3.0
Kammasandra,1400.0,3.0,2.0,92.0,3.0
Rachenahalli,1530.0,2.0,2.0,74.4,3.0
New Thippasandra,2400.0,6.0,3.0,400.0,6.0
Raja Rajeshwari Nagar,1185.0,2.0,2.0,40.17,2.0
Yelahanka,1890.0,3.0,2.0,108.0,3.0
Varthur Road,1247.0,2.0,2.0,58.0,3.0
Bellandur,1201.0,2.0,2.0,59.99,2.0
Gunjur Palya,830.0,2.0,2.0,40.0,2.0
Electronic City Phase II,1165.0,2.0,1.0,30.29,2.0
Bommanahalli,1100.0,1.0,2.0,55.0,2.0
9th Phase JP Nagar,1890.0,2.0,0.0,93.0,3.0
Maithri Layout,1685.0,3.0,2.0,60.0,3.0
Sarakki Nagar,3131.0,4.0,3.0,349.0,4.0
Battarahalli,1165.0,2.0,1.0,43.0,2.0
Kachanayakanahalli,827.0,2.0,1.0,45.0,2.0
Gangondanahalli,396.0,2.0,0.0,48.0,3.0
Electronics City Phase 1,635.0,1.0,0.0,26.0,1.0
Vishwanatha Nagenahalli,1050.0,2.0,1.0,50.0,2.0
Jakkur,1819.18,3.0,2.0,168.0,3.0
Kanakapura,1500.0,3.0,3.0,125.0,3.0
Yelenahalli,1500.0,2.0,2.0,57.0,3.0
Benson Town,2850.0,4.0,3.0,470.0,3.0
Raja Rajeshwari Nagar,1751.0,3.0,3.0,72.0,3.0
Bommasandra,1020.0,2.0,1.0,40.89,2.0
Thanisandra,1148.0,2.0,1.0,43.5,2.0
Talaghattapura,1856.0,3.0,2.0,135.0,3.0
B Narayanapura,1060.0,2.0,1.0,49.27,2.0
Haralur Road,1300.0,2.0,2.0,60.0,2.0
Hormavu,3000.0,4.0,0.0,100.0,4.0
Bellandur,1325.0,2.0,2.0,65.0,2.0
Sai Gardens,1261.0,2.0,2.0,61.0,2.0
Manayata Tech Park,1100.0,2.0,2.0,46.0,2.0
Ramamurthy Nagar,700.0,2.0,1.0,33.0,2.0
7th Phase JP Nagar,1675.0,2.0,2.0,135.0,3.0
Ullal Road,3400.0,4.0,2.0,190.0,4.0
Kodihalli,3260.0,5.0,3.0,388.0,4.0
Doddakammanahalli,1180.0,2.0,2.0,56.0,2.0
Uttarahalli,1160.0,2.0,2.0,45.0,2.0
Kasavanhalli,1863.0,3.0,2.0,105.0,4.0
Sahakara Nagar,1914.0,3.0,2.0,149.0,3.0
BTM Layout,1458.0,3.0,2.0,79.0,3.0
Babusapalaya,1105.0,2.0,1.0,40.0,2.0
Hulimavu,3035.0,5.0,3.0,220.0,3.0
Akshaya Nagar,1662.0,3.0,0.0,90.0,3.0
Yelahanka,1556.0,3.0,2.0,86.0,3.0
Jigani,918.0,2.0,2.0,50.0,2.0
Sarjapur  Road,1455.0,2.0,1.0,98.0,3.0
Jakkasandra Extension,1205.0,2.0,1.0,70.0,2.0
BEML Layout,1194.0,2.0,1.0,65.0,2.0
Laggere,1200.0,2.0,0.0,75.0,2.0
Bannerghatta Road,1100.0,2.0,2.0,52.0,3.0
Sarjapur  Road,1405.0,3.0,2.0,48.87,3.0
Subramanyapura,929.0,2.0,1.0,56.0,2.0
Frazer Town,3436.0,5.0,0.0,341.0,4.0
7th Phase JP Nagar,1035.0,2.0,1.0,39.33,2.0
8th Phase JP Nagar,2100.0,4.0,3.0,92.0,4.0
Channasandra,1065.0,2.0,1.0,40.47,2.0
Bannerghatta Road,1532.5,3.0,0.0,84.29,3.0
Hormavu,1093.0,2.0,1.0,32.78,2.0
Anandapura,1250.0,2.0,2.0,45.0,2.0
Marathahalli,1680.0,3.0,3.0,105.0,3.0
Nagarbhavi,1146.0,2.0,1.0,50.0,2.0
Jagajyothi layout,1250.0,2.0,3.0,58.0,2.0
Ramagondanahalli,1451.0,3.0,1.0,60.44,3.0
Nobo Nagar,1424.0,2.0,3.0,55.0,3.0
Gottigere,1435.0,2.0,3.0,62.0,3.0
Devanahalli,658.0,1.0,0.0,26.91,1.0
Bommanahalli,1300.0,3.0,2.0,45.0,3.0
Whitefield,1242.0,2.0,2.0,65.0,2.0
Marathahalli,1910.0,3.0,3.0,119.0,3.0
Hulimavu,1127.0,2.0,1.0,65.0,2.0
Yelahanka,1075.0,2.0,1.0,42.0,3.0
Mysore Road,1155.0,2.0,1.0,51.0,2.0
Lakkasandra Extension,1280.0,3.0,1.0,250.0,5.0
Krishna Reddy Layout,1250.0,3.0,1.0,55.0,3.0
Kuvempu Layout,2200.0,4.0,2.0,160.0,3.0
Billekahalli,2400.0,3.0,1.0,150.0,3.0
Chandapura,876.0,2.0,2.0,29.5,2.0
Nagarbhavi,1850.0,2.0,2.0,89.0,3.0
Kadugodi,1314.0,2.0,3.0,83.0,2.0
Rachenahalli,690.0,1.0,1.0,39.8,1.0
Electronic City Phase II,3550.0,4.0,0.0,167.5,4.0
Srirampura,1230.0,2.0,3.0,55.0,2.0
Bommasandra,920.0,2.0,1.0,37.2,2.0
Sarjapur  Road,1850.0,3.0,3.0,140.0,3.0
Electronic City,1073.0,2.0,2.0,60.0,2.0
Maithri Layout,1540.0,3.0,3.0,76.0,3.0
Kanakpura Road,1550.0,3.0,3.0,63.5,3.0
Kalyan nagar,1198.0,2.0,1.0,65.0,2.0
HBR Layout,1656.0,3.0,2.0,90.0,3.0
Kaveri Nagar,1900.0,3.0,3.0,155.0,3.0
Ramagondanahalli,1910.0,3.0,2.0,142.0,3.0
